Name,Type,Version,Repository,License,CoreCapability,Dependencies,CallScenarios,ReplacementDifficulty,KnownPatches,ComplianceNotes
EInkDisplay,Git Submodule,1.0.0,https://github.com/open-x4-epaper/community-sdk,MIT,"SSD1677电子墨水屏驱动，支持全屏/半屏/快速刷新模式及灰度显示",无,"HalDisplay.h:28组合使用，所有屏幕刷新调用","★★★★★极高","无公开补丁，通过lib_deps引入","低风险，MIT许可证宽松"
EpdFont,私有封装库,内置,N/A（项目内置）,GPL-3.0,"电子墨水屏专用字体渲染引擎，支持Woff/TTF压缩格式、字形缓存、连字和字距调整",InflateReader/uzlib,"main.cpp定义字体实例，GfxRenderer文本渲染，所有UI文本显示","★★★★☆高","fontconvert.py字体转换脚本，内嵌NotoSans/NotoSerif/OpenDyslexic/Ubuntu字体","AGPL许可风险需评估，字体本身许可宽松"
Epub,私有封装库,内置,N/A（项目内置）,GPL-3.0,"EPUB格式完整解析器，支持OPF/NCX/CSS解析、元数据缓存、连字处理（7种语言）",expat/ZipFile,"EpubReaderActivity.h阅读器核心，书籍加载","★★★★★极高","BookMetadataCache自定义缓存机制（book.bin/section.bin格式），7语言连字支持","EPUB解析是核心知识产权"
expat,第三方库,2.7.3,https://github.com/libexpat/libexpat,MIT,"W3C XML 1.0 SAX解析器，UTF-8/UTF-16支持",无,"OpdsParser.h用于OPDS解析，Epub/parsers/*.cpp用于EPUB解析","★★★★★极高","编译裁剪：仅保留xmlparse.c/xmlrole.c/xmltok.c","低风险，MIT许可证兼容性强"
FsHelpers,私有工具库,内置,N/A（项目内置）,GPL-3.0,"文件系统辅助函数，路径规范化、扩展名检查（epub/txt/png/jpg等）",无,"FileBrowserActivity文件浏览器，ReaderActivity书籍类型识别","★★☆☆☆低","无","无特定风险"
GfxRenderer,私有封装库,内置,N/A（项目内置）,GPL-3.0,"电子墨水屏图形渲染引擎，文本/几何/位图绘制、灰度Bayer抖动、屏幕方向控制",EpdFont/HalDisplay,"main.cpp全局renderer实例，所有Activity UI渲染","★★★★★极高","FontCacheManager字形位图缓存，Bitmap误差扩散抖动算法","UI核心组件，替换导致大规模重构"
hal,私有封装库,内置,N/A（项目内置）,GPL-3.0,"硬件抽象层：HalDisplay/HalGPIO/HalStorage/HalPowerManager/HalSystem",EInkDisplay/InputManager/BatteryMonitor/SDCardManager,"main.cpp初始化，整个固件系统依赖","★★★★★极高","Xteink X3/X4双设备适配，BQ27220/DS3231/QMI8658 I2C设备支持","硬件绑定，不建议替换"
I18n,私有封装库,内置,N/A（项目内置）,GPL-3.0,"国际化框架，支持22种语言，YAML翻译文件+自动代码生成",无,"所有UI文本显示，使用tr()宏","★★★★☆高","gen_i18n.py自动生成工具，22种语言翻译文件","无特定风险"
InflateReader,私有封装库,内置,N/A（项目内置）,GPL-3.0,"基于uzlib的流式解压封装，支持一次性模式和32KB流式模式",uzlib,"FontDecompressor字体解压模块","★★★☆☆中","无","继承uzlib zlib许可证"
JpegToBmpConverter,私有封装库,内置,N/A（项目内置）,GPL-3.0,"JPEG到BMP转换，支持缩放、灰度转换、1位黑白模式",JPEGDecoder第三方库,"Epub.cpp封面生成","★★★☆☆中","patch_jpegdec.py脚本修补JPEGDecoder","LGPL许可证风险需确认"
KOReaderSync,私有封装库,内置,N/A（项目内置）,GPL-3.0,"KOReader云端阅读进度同步客户端，支持认证/查询/更新API",无,"KOReaderSyncActivity同步界面，KOReaderSettingsActivity设置","★★★★☆高","ProgressMapper进度格式转换（XPath<->spine索引）","无特定风险，API公开"
Logging,私有工具库,内置,N/A（项目内置）,GPL-3.0,"串口日志框架，多级别日志（ERR/INF/DBG），可通过宏启用/禁用",无,"系统启动日志，错误诊断","★☆☆☆☆极低","无","无风险，工具库不影响核心"
OpdsParser,私有封装库,内置,N/A（项目内置）,GPL-3.0,"OPDS Atom feed解析器，支持书籍条目和导航链接提取",expat,"OpdsBookBrowserActivity书库浏览，OpdsServerListActivity服务器管理","★★★☆☆中","OpdsStream流式解析支持","无特定风险，OPDS开放协议"
PngToBmpConverter,私有封装库,内置,N/A（项目内置）,GPL-3.0,"PNG到BMP转换，支持缩放、灰度/黑白模式",pngle或libpng,"Epub/converters/PngToFramebufferConverter图片解码","★★★☆☆中","PNG_MAX_BUFFERED_PIXLES=16416配置支持大图","继承PNG库许可证（LGPL/zlib）"
Serialization,私有工具库,内置,N/A（项目内置）,GPL-3.0,"二进制序列化工具，POD类型和字符串序列化",无,"I18n.cpp语言设置，RecentBooksStore.cpp最近阅读记录","★★☆☆☆低","ObfuscationUtils基于MAC的XOR混淆密码存储","混淆非加密，仅隐私保护"
Txt,私有封装库,内置,N/A（项目内置）,GPL-3.0,"纯文本书籍解析，支持分页、编码检测、封面关联",无,"TxtReaderActivity阅读器","★★★☆☆中","无","无特定风险"
Utf8,私有工具库,内置,N/A（项目内置）,GPL-3.0,"UTF-8编码处理，码点读取、截断、组合标记识别",无,"ChapterHtmlSlimParser文本解析，FontDecompressor字体渲染","★★☆☆☆低","无","无特定风险"
XmlParserUtils,私有工具库,内置,N/A（项目内置）,GPL-3.0,"Expat解析器工具封装，安全销毁解析器",expat,"OpdsParser.cpp和Epub/parsers/*.cpp解析器销毁","★★★☆☆中","无","无特定风险"
Xtc,私有封装库,内置,N/A（项目内置）,GPL-3.0,"XTC自定义二进制电子书格式解析，预生成页面位图读取",无,"XtcReaderActivity阅读器","★★★☆☆中","XtcTypes.h格式规范定义","无特定风险"
ZipFile,私有封装库,内置,N/A（项目内置）,GPL-3.0,"ZIP压缩包读取，用于EPUB文件解析，支持流式解压",uzlib,"Epub.cpp EPUB解析，WebDAVHandler.cpp PUT写入","★★★★★极高","FNV-1a哈希索引优化批量查询","无特定风险"
uzlib,第三方库,2.9.8,https://github.com/pfalcon/uzlib,zlib,"微型DEFLATE/INFLATE压缩库，专为嵌入式设计（最小2KB RAM）",无,"InflateReader字体解压，FontDecompressor字形解压","★★★★☆高","无公开补丁，通过library.json引入","低风险，zlib许可证宽松"
BatteryMonitor,Git Submodule依赖,1.0.0,open-x4-sdk子模块,MIT,"TI BQ27220燃料电池计I2C通信，获取电压/百分比/电流",无,"HalPowerManager电源管理间接使用","★★★★★极高","无","低风险，MIT许可证"
InputManager,Git Submodule依赖,1.1.0,open-x4-sdk子模块,MIT,"GPIO按钮输入管理，处理正面/侧面/电源按钮中断和状态检测",无,"HalGPIO输入管理间接使用","★★★★★极高","无","低风险，MIT许可证"
SDCardManager,Git Submodule依赖,2.0.0,open-x4-sdk子模块,MIT,"SD卡文件系统封装，基于SdFat库",SdFat ^2.3.1,"HalStorage存储管理间接使用","★★★★★极高","无","LGPL许可证（继承SdFat）"
